sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GYROSCOPE X (°/s);GYROSCOPE Y (°/s);GYROSCOPE Z (°/s);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-32.4604;-74.32;16.2081;-101.99;-22.57;-806.29;32518;2021-12-04 13:08:03:261
-6.5323;0.5818;9.1874;-9.79;-25.63;66.92;33018;2021-12-04 13:08:03:761
0.1784;3.736;6.7047;47.8;-53.73;138.06;33518;2021-12-04 13:08:04:261
15.6442;-1.561;1.9512;72.27;25.67;2.95;34018;2021-12-04 13:08:04:761
-11.5276;-1.0582;10.4766;-81.17;-27.66;-12.52;34518;2021-12-04 13:08:05:261
-7.2218;1.0019;9.5716;27.4;-15.03;120.27;35018;2021-12-04 13:08:05:761
6.7023;5.0097;3.098;44.79;-47.94;120.95;35518;2021-12-04 13:08:06:261
14.7249;-14.8889;-2.4935;-3.48;39.63;-774.0;36017;2021-12-04 13:08:06:760
-8.3231;-0.6057;9.4016;-51.57;41.15;30.04;36518;2021-12-04 13:08:07:261
-1.6615;3.5588;6.7298;51.27;-6.28;141.98;37018;2021-12-04 13:08:07:761
10.3724;5.0839;2.3067;54.26;-56.22;106.98;37518;2021-12-04 13:08:08:261
2.6766;5.7195;2.7137;-69.14;-126.89;-33.11;38018;2021-12-04 13:08:08:761
-4.2088;-0.5746;9.2652;-39.48;-107.98;86.86;38518;2021-12-04 13:08:09:261
3.8461;5.7279;4.9223;87.55;-54.0;106.29;39018;2021-12-04 13:08:09:761
12.1465;-0.4285;2.4216;68.67;3.92;118.01;39518;2021-12-04 13:08:10:261
3.554;-1.9919;9.8733;-114.56;-76.45;42.62;40018;2021-12-04 13:08:10:761
-1.1875;-1.3072;11.2092;3.66;-85.02;106.64;40518;2021-12-04 13:08:11:261
8.5014;3.39;2.0972;116.83;4.69;122.23;41018;2021-12-04 13:08:11:761
10.5269;1.8267;1.7249;59.31;-25.24;79.83;41518;2021-12-04 13:08:12:261
-11.7107;-3.736;17.8408;-59.36;209.91;36.76;42018;2021-12-04 13:08:12:761
