sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GYROSCOPE X (°/s);GYROSCOPE Y (°/s);GYROSCOPE Z (°/s);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-5.8536;-1.7154;-8.5206;-126.37;-28.77;-137.97;31023;2021-12-04 13:03:17:927
-11.135;-3.1853;-3.4487;-71.61;-60.6;-122.28;31525;2021-12-04 13:03:18:429
-6.8064;-9.0712;-0.6201;-31.5;-3.96;-9.47;32024;2021-12-04 13:03:18:928
23.388;-41.5927;-48.4338;681.24;203.27;358.11;32525;2021-12-04 13:03:19:429
-5.5998;-1.8889;-9.4256;-127.87;-18.75;-167.79;33024;2021-12-04 13:03:19:928
-7.6491;-2.8155;-5.6273;-34.41;-14.8;-87.84;33524;2021-12-04 13:03:20:428
-7.9197;-6.1109;-4.1394;-52.19;-44.53;-23.84;34024;2021-12-04 13:03:20:928
-18.2179;-19.9069;10.3425;130.18;343.49;72.47;34526;2021-12-04 13:03:21:430
-3.0154;-0.565;-8.8462;-111.02;-20.68;-152.55;35027;2021-12-04 13:03:21:931
-7.217;-2.9854;-6.4988;-74.59;-47.72;-117.96;35525;2021-12-04 13:03:22:429
-7.4708;-6.5287;-1.4412;-56.14;-63.89;-44.28;36024;2021-12-04 13:03:22:928
-18.8236;-25.4756;21.2979;438.64;143.6;230.31;36524;2021-12-04 13:03:23:428
-5.0061;-1.1827;-9.5213;-116.06;11.74;-111.91;37024;2021-12-04 13:03:23:928
-11.3959;-3.4116;-2.4432;-51.09;-21.08;-71.57;37524;2021-12-04 13:03:24:428
-7.6599;-7.0482;-1.6831;-81.93;-11.51;-45.57;38024;2021-12-04 13:03:24:928
-15.9232;-26.7552;17.7475;201.08;234.77;25.92;38524;2021-12-04 13:03:25:428
-1.5047;-1.0881;-10.0229;-42.43;15.23;16.48;39023;2021-12-04 13:03:25:927
-11.7885;-5.4573;-1.2497;-77.0;-9.16;-124.87;39524;2021-12-04 13:03:26:428
-9.9894;-4.9283;-5.0803;-54.19;-88.17;-70.93;40342;2021-12-04 13:03:27:246
-0.7745;-33.9316;4.7092;549.51;86.42;376.67;40523;2021-12-04 13:03:27:427
-3.6582;-0.7565;-10.0839;-110.89;-25.59;-173.43;41024;2021-12-04 13:03:27:928
-9.2879;-3.9419;-4.7834;-51.11;-47.89;-72.73;41524;2021-12-04 13:03:28:428
-5.4358;-6.6759;-2.9507;-27.46;-119.09;-31.4;42024;2021-12-04 13:03:28:928
14.1802;-50.306;-24.2594;184.46;368.72;38.38;42524;2021-12-04 13:03:29:428
-5.3939;-0.7697;-9.3202;-104.69;29.95;-136.08;43024;2021-12-04 13:03:29:928
-8.3039;-2.8059;-6.2211;-131.7;-34.93;-180.54;44024;2021-12-04 13:03:30:928
-8.3039;-2.8059;-6.2211;-131.7;-34.93;-180.54;44025;2021-12-04 13:03:30:929
-8.3039;-2.8059;-6.2211;-131.7;-34.93;-180.54;44025;2021-12-04 13:03:30:929
-8.3039;-2.8059;-6.2211;-131.7;-34.93;-180.54;44025;2021-12-04 13:03:30:929
-8.3039;-2.8059;-6.2211;-131.7;-34.93;-180.54;44025;2021-12-04 13:03:30:929
-8.3039;-2.8059;-6.2211;-131.7;-34.93;-180.54;44025;2021-12-04 13:03:30:929
-8.3039;-2.8059;-6.2211;-131.7;-34.93;-180.54;44025;2021-12-04 13:03:30:929
-8.3039;-2.8059;-6.2211;-131.7;-34.93;-180.54;44026;2021-12-04 13:03:30:930
-8.3039;-2.8059;-6.2211;-131.7;-34.93;-180.54;44026;2021-12-04 13:03:30:930
-8.3039;-2.8059;-6.2211;-131.7;-34.93;-180.54;44026;2021-12-04 13:03:30:930
-5.99;-12.6396;1.3036;-17.57;-93.3;14.77;44970;2021-12-04 13:03:31:874
-5.99;-12.6396;1.3036;-17.57;-93.3;14.77;44970;2021-12-04 13:03:31:874
-5.99;-12.6396;1.3036;-17.57;-93.3;14.77;44971;2021-12-04 13:03:31:875
-5.99;-12.6396;1.3036;-17.57;-93.3;14.77;44976;2021-12-04 13:03:31:880
-5.99;-12.6396;1.3036;-17.57;-93.3;14.77;44977;2021-12-04 13:03:31:881
-5.99;-12.6396;1.3036;-17.57;-93.3;14.77;44977;2021-12-04 13:03:31:881
-5.99;-12.6396;1.3036;-17.57;-93.3;14.77;44977;2021-12-04 13:03:31:881
-5.99;-12.6396;1.3036;-17.57;-93.3;14.77;44977;2021-12-04 13:03:31:881
-5.99;-12.6396;1.3036;-17.57;-93.3;14.77;44977;2021-12-04 13:03:31:881
-5.99;-12.6396;1.3036;-17.57;-93.3;14.77;44977;2021-12-04 13:03:31:881
-5.99;-12.6396;1.3036;-17.57;-93.3;14.77;44977;2021-12-04 13:03:31:881
-5.3556;-13.3986;2.6754;-56.5;-11.68;-98.84;45012;2021-12-04 13:03:31:916
-2.9531;-1.7609;9.2304;0.91;3.41;2.47;45511;2021-12-04 13:03:32:415
-3.3134;-1.6842;9.1311;0.2;8.19;-0.96;46012;2021-12-04 13:03:32:916
-3.092;-2.6826;8.6247;2.57;6.09;2.25;46510;2021-12-04 13:03:33:414
-3.9814;-1.792;8.8749;-2.8;-4.8;4.54;47010;2021-12-04 13:03:33:914
-3.8796;-1.7321;8.9037;0.98;-1.29;-0.48;47510;2021-12-04 13:03:34:414
-3.6486;-1.6184;9.0066;0.75;-1.43;0.73;48011;2021-12-04 13:03:34:915
-3.985;-1.458;8.7804;-0.32;-2.95;2.31;48510;2021-12-04 13:03:35:414
-3.8485;-1.5586;8.7504;2.87;2.41;-1.78;49010;2021-12-04 13:03:35:914
-4.1322;-1.4257;8.7804;-0.9;-3.4;3.9;49510;2021-12-04 13:03:36:414
-3.7982;-1.6292;8.6894;-0.17;-3.07;-0.98;50011;2021-12-04 13:03:36:915
-4.0795;-1.118;8.7959;1.17;3.99;0.73;50510;2021-12-04 13:03:37:414
-4.4423;-1.2928;8.7816;0.04;2.76;-0.02;51010;2021-12-04 13:03:37:914
